folio,year,trim,unidad,ciudad,punto,turno,p1,p2,p3,p4a,p4n,p5,p5_1,p5_2,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3_1,p9_3_2,p9_3_3,p9_3_4,p9_4_1,p9_4_2,p9_4_3,p9_4_4,p10,p11,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p13,p14,p14_1,p15,p16,p16_1,p16_2,p16_2_1_1,p16_2_1_2,p16_2_1_3,p16_2_1_4,p16_2_1_5,p16_2_1_6,p16_2_1_7,p16_2_1_8,p16_2_1_9,p16_2_1_10,p17,p18,p18_1,p18_2,p18_2_1,p18_2_2,p18_2_3,p18_3,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23,p23_1,p24e,p24m,p24l,p24u,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_1_9,p25_1_10,p25_1_11,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_2,p27_3,p27_4,p27_5,p27_1_1,p27_1_2,p27_1_3,p27_1_4,p27_1_5,p28,p28_1,p29e,p29m,p29l,p29u,p29_1c,p29_1t,p29_3,p29_4,p29_5,p30,p31c,p31t,p32c,p32u,p32_1,p33,p34e,p34m,p34l,p34u,p35,p35_1_1,p35_1_2,p35_1_3,p35_1_4,p35_1_5,p35_1_6,p35_1_7,p35_1_8,p35_1_9,p35_1_10,p35_1_11,p36,p36_1_1,p36_1_2,p36_1_3,p36_1_4,p36_1_5,p36_1_6,p36_1_7,p36_1_8,p36_1_9,p36_1_10,p36_1_11,p36_2,p37c,p37t,p38,p39,p39_1_1,p39_1_2,p39_1_3,p39_1_4,p39_1_5,p39_1_6,p39_1_7,p39_1_8,p39_1_9,p39_1_10,p39_1_11,p39_2,p40,p40_1,p41,p42,p42_1,p43,p44m,p44a,p45,p46,p47,p48,p49,p50,p50_1,p50_2,p51,p52,p53,p53_1,p54,p55,p55_1,p56c,p56t,p57,p57_1,p57_2,p57_3,p58,p59,p60_1,p60_2,p60_3,p60_4,filtro,ponfin3,t3mp1_1,t3mp1_2,t3mp1_3,t3mp1_4,t3mp1_5,t3mp1_6,t3mp2,t3mp3,t3mp4_1,t3mp4_2,t3mp4_3,t3mp4_4,t3mp4_5,t3mp4_6,t3mp4_7,t3mp5,t3mp6_1,t3mp6_2,t3mp6_3,t3mp6_4,t3mp6_5,t3mp6_6,t3mp7
2019,2015,3,211509,3,1,1,1,32,2,0,1,1,1,2,2,-1,1,1,-1,6,2,1,1,1,1,1,1,2,2,2,1,1,13,1319,1,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,7,70340239,1,7,70340014,1,0,0,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,1,100,1,2,4,7,7034,70340014,1,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,10,1,2011,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,25.772038,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2020,2015,3,211509,3,1,1,1,40,1,6,2,2,2,2,1,3,1,1,-1,7,3,1,1,1,1,1,1,2,2,2,1,1,13,1312,2,-2,-2,-2,-2,-2,-2,1,-2,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1312047,1,99,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,7,70340239,1,7,70340014,1,0,0,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,30,2,2,4,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,1,25.772038,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2021,2015,3,211509,3,1,1,1,20,1,3,2,1,1,2,2,-1,6,2,2,9,3,2,1,8,1,8,2,2,2,2,1,1,13,1304,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,0,-3,-3,-3,0,0,2,-2,-2,-2,1,2,2,2,2,2,7,70340239,1,7,70340014,1,0,0,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,50,1,2,4,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,15,1,2012,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,25.772038,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2022,2015,3,211509,3,1,1,1,25,1,6,2,1,1,2,2,-1,1,1,-1,3,1,1,1,1,1,1,1,2,2,2,1,1,12,1205,1,-2,-2,-2,-2,-2,-2,1,-2,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,7,70340239,1,7,70340014,1,0,0,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,100,1,2,4,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,25.772038,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2023,2015,3,211509,3,1,1,1,40,2,0,1,1,1,2,2,-1,1,1,-1,8,4,1,1,1,1,1,1,2,2,2,1,1,13,1312,1,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,7,70340239,1,7,70340014,1,0,0,7,7034,70340239,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,60,1,2,4,7,7034,70340014,1,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,25,1,2011,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,25.772038,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2024,2015,3,211509,3,1,1,1,23,1,3,3,1,1,2,2,-1,1,1,-1,3,1,1,1,1,1,1,1,2,2,2,1,1,7,706,99,-2,-2,-2,-2,-2,-2,1,-2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,7,70340239,1,7,70340014,1,0,0,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,300,1,2,4,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,25.772038,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2025,2015,3,211509,3,1,1,1,18,2,0,1,1,1,2,2,-1,6,2,2,7,3,2,1,8,1,8,1,2,2,2,1,1,13,1311,1,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,0,-3,-3,-3,0,0,2,-2,-2,-2,1,2,2,2,2,2,7,70340239,1,7,70340014,1,0,0,7,7034,70340014,1,3,2,2,2,1,2,2,1,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,40,1,2,4,7,7034,70340014,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,15,1,2013,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,25.772038,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2072,2015,3,221509,2,1,1,1,23,1,6,2,1,2,2,2,-1,1,2,2,8,3,2,1,1,1,8,1,2,2,2,1,1,13,1306,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,2,2,2,2,2,2,7,70190001,2,27,270170001,2,0,0,27,27017,270170001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,1000,2,2,4,27,27017,270170001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,34.31218792,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2073,2015,3,221509,2,1,1,1,40,1,6,2,2,2,2,2,-1,1,1,-1,5,1,2,1,1,1,1,2,2,2,2,1,1,14,1420,2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1420059,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,2,2,2,2,2,2,7,70592623,1,7,70650001,2,0,0,23,23004,230040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,2,2500,2,2,4,23,23004,230040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,34.31218792,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2074,2015,3,221509,2,1,1,2,23,1,3,4,1,2,2,2,-1,6,2,2,8,2,2,1,8,1,8,1,2,2,2,1,1,1,101,1,-2,-2,-2,-2,-2,-2,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,7,70190001,2,7,71010001,2,0,0,7,7101,71010001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,5,4,99998,98,2,4,7,7101,71010001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,20040001,2,-5,6,2,-5,0,5,1,2,1,2,2,2,2,2,2,2,1,16.89040231,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2075,2015,3,221509,2,1,1,1,37,2,0,1,2,2,2,2,-1,4,1,-1,4,1,2,1,1,1,1,1,2,2,2,1,1,13,1313,99,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,2,2,2,2,2,2,7,71010001,2,97,999999997,97,0,0,7,7101,71010001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,2000,2,2,4,7,7101,71010001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,999999997,2,-5,48,2,-5,0,5,2,-5,1,2,2,2,2,2,2,2,1,34.31218792,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2077,2015,3,221509,2,1,1,2,30,2,0,1,1,2,2,2,-1,6,2,2,4,2,2,1,8,1,8,2,2,2,2,1,1,9,918,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,6,2,2,2,2,2,2,2,2,8,6,0,0,0,111,1,1,1,1,1215013,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,2,2,2,2,2,2,7,71010001,2,99,999999999,99,0,0,7,7101,71010001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,99998,98,2,4,7,7101,71010001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,16.89040231,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2078,2015,3,221509,2,1,1,2,19,1,2,3,1,2,2,2,-1,6,2,2,7,0,2,1,8,1,8,2,2,2,2,1,1,12,1207,2,-2,-2,-2,-2,-2,-2,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1209084,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,2,2,2,2,2,2,7,71010001,2,30,300030001,2,0,0,30,30003,300030001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,99997,97,2,4,30,30003,300030001,2,5,1,1,1,1,1,1,1,1,1,1,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,16.89040231,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2079,2015,3,221509,2,1,1,1,38,2,1,2,2,2,2,2,-1,6,2,2,9,1,2,1,8,1,1,2,2,2,2,1,1,14,1412,2,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1705099,1,99,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,2,2,2,2,2,2,7,70190001,2,30,300030001,2,0,0,30,30003,300030001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,450,2,2,4,30,30003,300030001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,34.31218792,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2080,2015,3,221509,2,1,1,2,29,1,2,2,2,2,2,2,-1,1,2,1,3,1,2,1,1,1,1,2,2,2,2,1,1,12,1207,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1215013,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,2,2,2,2,2,2,7,70400001,2,98,999999998,98,0,0,7,7040,70400001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,1000,2,2,2,7,7040,70400001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,4,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,16.89040231,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2081,2015,3,221509,2,1,1,2,25,1,3,4,2,2,2,2,-1,6,2,2,8,3,2,1,8,1,8,2,2,2,2,1,1,10,1001,1,-2,-2,-2,-2,-2,-2,2,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1,1217001,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,2,2,2,2,2,2,7,70890001,2,7,70400001,2,0,0,7,7040,70400001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,99998,98,2,4,7,7040,70400001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,1,16.89040231,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2082,2015,3,221509,2,1,1,2,21,1,6,2,2,2,2,2,-1,1,2,1,3,1,2,1,1,1,1,1,2,2,2,1,1,18,1801,1,-2,-2,-2,-2,-2,-2,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1217001,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,1,1,1,-4,1,0,2,-2,-2,-2,2,2,2,2,2,2,7,71010001,2,30,300030001,2,0,0,30,30003,300030001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,2,1500,2,2,4,30,30003,300030001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,4,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,1,16.89040231,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2083,2015,3,221509,2,1,1,1,44,1,2,2,1,2,2,2,-1,5,1,-1,4,1,1,1,1,1,1,2,2,2,2,1,1,13,1321,1,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,2,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,7,70190001,2,30,300230117,1,0,0,30,30023,300230117,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,3,1500,2,2,4,30,30023,300230117,1,3,2,2,2,2,1,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,280220001,2,-5,51,2,-5,0,5,2,-5,1,2,2,2,2,2,2,2,1,34.31218792,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
